name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
GJ 3138 b,93,1.78 Earths,10.8275,2017
GJ 3138 c,93,4.18 Earths,10.8275,2017
GJ 3138 d,93,10.5 Earths,10.8275,2017
GJ 317 b,50,2.5 Jupiters,12.4,2007
GJ 317 c,50,1.64396 Jupiters,12.4,2018
GJ 3222 b,59,11.73969 Earths,6.9,2022
GJ 328 b,67,2.3 Jupiters,9.99,2013
GJ 3293 b,66,23.54 Earths,11.945,2015
GJ 3293 c,66,21.09 Earths,11.945,2015
GJ 3293 d,66,7.6 Earths,11.945,2017
GJ 3293 e,66,3.28 Earths,11.945,2017
GJ 3323 b,18,2.02 Earths,12.57,2017
GJ 3323 c,18,2.31 Earths,12.57,2017
GJ 3341 b,77,6.6 Earths,12.062,2015
GJ 338 B b,21,10.27 Earths,7.7,2020
GJ 3470 b,96,13.9 Earths,12.332,2012
GJ 3473 b,89,1.86 Earths,13.74,2020
GJ 3473 c,89,7.41 Earths,13.74,2020
GJ 3512 b,31,0.46 Jupiters,15.18,2019
GJ 3512 c,31,0.2 Jupiters,15.18,2020
GJ 357 b,31,1.84 Earths,10.91,2019
GJ 357 c,31,3.4 Earths,10.91,2019
GJ 357 d,31,6.1 Earths,10.91,2019
GJ 3634 b,66,8.4 Earths,11.938,2010
GJ 367 b,31,0.546 Earths,10.153,2021
GJ 3138 b,93,1.78 Earths,10.8275,2017
GJ 3138 c,93,4.18 Earths,10.8275,2017
GJ 3138 d,93,10.5 Earths,10.8275,2017
GJ 317 b,50,2.5 Jupiters,12.4,2007
GJ 317 c,50,1.64396 Jupiters,12.4,2018
GJ 3222 b,59,11.73969 Earths,6.9,2022
GJ 328 b,67,2.3 Jupiters,9.99,2013
GJ 3293 b,66,23.54 Earths,11.945,2015
GJ 3293 c,66,21.09 Earths,11.945,2015
GJ 3293 d,66,7.6 Earths,11.945,2017
GJ 3293 e,66,3.28 Earths,11.945,2017
GJ 3323 b,18,2.02 Earths,12.57,2017
GJ 3323 c,18,2.31 Earths,12.57,2017
GJ 3341 b,77,6.6 Earths,12.062,2015
GJ 338 B b,21,10.27 Earths,7.7,2020
GJ 3470 b,96,13.9 Earths,12.332,2012
GJ 3473 b,89,1.86 Earths,13.74,2020
GJ 3473 c,89,7.41 Earths,13.74,2020
GJ 3512 b,31,0.46 Jupiters,15.18,2019
GJ 3512 c,31,0.2 Jupiters,15.18,2020
GJ 357 b,31,1.84 Earths,10.91,2019
GJ 357 c,31,3.4 Earths,10.91,2019
GJ 357 d,31,6.1 Earths,10.91,2019
GJ 3634 b,66,8.4 Earths,11.938,2010
GJ 367 b,31,0.546 Earths,10.153,2021
GJ 3779 b,45,8 Earths,13.04,2018
GJ 3929 b,52,1.75 Earths,12.675,2022
GJ 3929 c,52,5.71 Earths,12.675,2022
GJ 393 b,23,1.71 Earths,9.65,2021
GJ 3942 b,55,7.14 Earths,10.166,2017
GJ 3998 b,59,2.47 Earths,10.844,2016
GJ 3998 c,59,6.26 Earths,10.844,2016
GJ 411 b,19,2.69 Earths,7.49,2019
GJ 414 A b,39,7.6 Earths,8.31,2021
GJ 414 A c,39,0.16937 Jupiters,8.31,2021
GJ 422 b,41,11.07 Earths,11.66,2014
GJ 4276 b,70,16.57 Earths,12.903,2019
GJ 433 b,30,6.043 Earths,9.81,2011
GJ 433 c,30,32.422 Earths,9.81,2014
GJ 433 d,30,5.223 Earths,9.81,2020
GJ 436 b,32,22.1 Earths,10.67,2004
GJ 480 b,46,13.2 Earths,11.49,2020
GJ 486 b,26,2.82 Earths,11.39,2021
GJ 504 b,57,4 Jupiters,5.18799,2013
GJ 514 b,25,5.2 Earths,9.05,2022
GJ 536 b,34,5.36 Earths,9.71,2016
GJ 581 b,21,15.8 Earths,10.57,2005
GJ 581 c,21,5.5 Earths,10.57,2007
GJ 581 e,21,1.7 Earths,10.57,2009
GJ 625 b,21,2.82 Earths,10.066,2017
GJ 3779 b,45,8 Earths,13.04,2018
GJ 3929 b,52,1.75 Earths,12.675,2022
GJ 3929 c,52,5.71 Earths,12.675,2022
GJ 393 b,23,1.71 Earths,9.65,2021
GJ 3942 b,55,7.14 Earths,10.166,2017
GJ 3998 b,59,2.47 Earths,10.844,2016
GJ 3998 c,59,6.26 Earths,10.844,2016
GJ 411 b,19,2.69 Earths,7.49,2019
GJ 414 A b,39,7.6 Earths,8.31,2021
GJ 414 A c,39,0.16937 Jupiters,8.31,2021
GJ 422 b,41,11.07 Earths,11.66,2014
GJ 4276 b,70,16.57 Earths,12.903,2019
GJ 433 b,30,6.043 Earths,9.81,2011
GJ 433 c,30,32.422 Earths,9.81,2014
GJ 433 d,30,5.223 Earths,9.81,2020
GJ 436 b,32,22.1 Earths,10.67,2004
GJ 480 b,46,13.2 Earths,11.49,2020
GJ 486 b,26,2.82 Earths,11.39,2021
GJ 504 b,57,4 Jupiters,5.18799,2013
GJ 514 b,25,5.2 Earths,9.05,2022
GJ 536 b,34,5.36 Earths,9.71,2016
GJ 581 b,21,15.8 Earths,10.57,2005
GJ 581 c,21,5.5 Earths,10.57,2007
GJ 581 e,21,1.7 Earths,10.57,2009
GJ 625 b,21,2.82 Earths,10.066,2017
GJ 3779 b,45,8 Earths,13.04,2018
GJ 3929 b,52,1.75 Earths,12.675,2022
GJ 3929 c,52,5.71 Earths,12.675,2022
GJ 393 b,23,1.71 Earths,9.65,2021
GJ 3942 b,55,7.14 Earths,10.166,2017
GJ 3998 b,59,2.47 Earths,10.844,2016
GJ 3998 c,59,6.26 Earths,10.844,2016
GJ 411 b,19,2.69 Earths,7.49,2019
GJ 414 A b,39,7.6 Earths,8.31,2021
GJ 414 A c,39,0.16937 Jupiters,8.31,2021
GJ 422 b,41,11.07 Earths,11.66,2014
GJ 4276 b,70,16.57 Earths,12.903,2019
GJ 433 b,30,6.043 Earths,9.81,2011
GJ 433 c,30,32.422 Earths,9.81,2014
GJ 433 d,30,5.223 Earths,9.81,2020
GJ 436 b,32,22.1 Earths,10.67,2004
GJ 480 b,46,13.2 Earths,11.49,2020
GJ 486 b,26,2.82 Earths,11.39,2021
GJ 504 b,57,4 Jupiters,5.18799,2013
GJ 514 b,25,5.2 Earths,9.05,2022
GJ 536 b,34,5.36 Earths,9.71,2016
GJ 581 b,21,15.8 Earths,10.57,2005
GJ 581 c,21,5.5 Earths,10.57,2007
GJ 581 e,21,1.7 Earths,10.57,2009
GJ 625 b,21,2.82 Earths,10.066,2017
GJ 649 b,34,0.328 Jupiters,9.7,2009
GJ 667 C b,24,5.6 Earths,10.602,2011
GJ 667 C c,24,3.8 Earths,10.602,2011
GJ 667 C e,24,2.7 Earths,10.602,2013
GJ 667 C f,24,2.7 Earths,10.602,2013
GJ 667 C g,24,4.6 Earths,10.602,2013
GJ 674 b,15,11.09 Earths,9.38,2007
GJ 676 A b,52,5.77988 Jupiters,9.58,2010
GJ 676 A c,52,13.4381 Jupiters,9.58,2016
GJ 676 A d,52,3.79832 Earths,9.58,2012
GJ 676 A e,52,6.69167 Earths,9.58,2012
GJ 680 b,32,24.43125 Jupiters,10.129,2022
GJ 682 b,16,4.4 Earths,10.94,2014
GJ 682 c,16,8.7 Earths,10.94,2014
GJ 685 b,47,9 Earths,9.98,2019
GJ 687 b,15,17.2 Earths,9.15,2014
GJ 687 c,15,16 Earths,9.15,2020
GJ 720 A b,51,13.64 Earths,9.84,2021
GJ 740 b,36,2.96 Earths,9.22,2021
GJ 832 b,16,0.68 Jupiters,8.66,2008
GJ 849 b,29,0.9 Jupiters,10.41,2006
GJ 849 c,29,0.702 Jupiters,10.41,2014
GJ 86 b,35,4.42 Jupiters,6.12,1999
GJ 876 b,15,2.2756 Jupiters,10.16,1998
GJ 876 c,15,0.7142 Jupiters,10.16,2000
GJ 649 b,34,0.328 Jupiters,9.7,2009
GJ 667 C b,24,5.6 Earths,10.602,2011
GJ 667 C c,24,3.8 Earths,10.602,2011
GJ 667 C e,24,2.7 Earths,10.602,2013
GJ 667 C f,24,2.7 Earths,10.602,2013
GJ 667 C g,24,4.6 Earths,10.602,2013
GJ 674 b,15,11.09 Earths,9.38,2007
GJ 676 A b,52,5.77988 Jupiters,9.58,2010
GJ 676 A c,52,13.4381 Jupiters,9.58,2016
GJ 676 A d,52,3.79832 Earths,9.58,2012
GJ 676 A e,52,6.69167 Earths,9.58,2012
GJ 680 b,32,24.43125 Jupiters,10.129,2022
GJ 682 b,16,4.4 Earths,10.94,2014
GJ 682 c,16,8.7 Earths,10.94,2014
GJ 685 b,47,9 Earths,9.98,2019
GJ 687 b,15,17.2 Earths,9.15,2014
GJ 687 c,15,16 Earths,9.15,2020
GJ 720 A b,51,13.64 Earths,9.84,2021
GJ 740 b,36,2.96 Earths,9.22,2021
GJ 832 b,16,0.68 Jupiters,8.66,2008
GJ 849 b,29,0.9 Jupiters,10.41,2006
GJ 849 c,29,0.702 Jupiters,10.41,2014
GJ 86 b,35,4.42 Jupiters,6.12,1999
GJ 876 b,15,2.2756 Jupiters,10.16,1998
GJ 876 c,15,0.7142 Jupiters,10.16,2000
GJ 876 d,15,6.83 Earths,10.16,2005
GJ 876 e,15,14.6 Earths,10.16,2010
GJ 887 b,11,4.2 Earths,7.56,2020
GJ 887 c,11,7.6 Earths,7.56,2020
GJ 896 A b,20,2.26 Jupiters,10.05,2022
GJ 9066 c,15,0.21 Jupiters,12.71,2020
GJ 9689 b,100,9.65 Earths,11.297,2020
GJ 96 b,39,19.66 Earths,9.4,2018
GJ 9714 b,67,9.60029 Jupiters,9.37,2022
GJ 9827 b,97,4.91 Earths,10.37,2017
GJ 9827 c,97,0.84 Earths,10.37,2017
GJ 9827 d,97,4.04 Earths,10.37,2017
Gl 378 b,49,13.02 Earths,10.03,2019
Gl 49 b,32,5.63 Earths,9.56,2019
Gl 686 b,27,6.624 Earths,9.62,2018
GPX-1 b,2137,19.7 Jupiters,12.316,2021
GQ Lupi b,493,20 Jupiters,11.593,2004
GSC 06214-00210 b,354,16 Jupiters,12.416,2010
GU Piscium b,155,11.3 Jupiters,14.146,2014
HAT-P-11 b,123,26.69772 Earths,9.46,2008
HAT-P-11 c,123,2.3 Jupiters,9.46,2018
HAT-P-12 b,466,0.211 Jupiters,12.665,2009
HAT-P-13 b,805,0.851 Jupiters,10.421,2009
HAT-P-13 c,805,14.28 Jupiters,10.421,2009
HAT-P-14 b,726,3.44 Jupiters,9.988,2010
GJ 876 d,15,6.83 Earths,10.16,2005
GJ 876 e,15,14.6 Earths,10.16,2010
GJ 887 b,11,4.2 Earths,7.56,2020
GJ 887 c,11,7.6 Earths,7.56,2020
GJ 896 A b,20,2.26 Jupiters,10.05,2022
GJ 9066 c,15,0.21 Jupiters,12.71,2020
GJ 9689 b,100,9.65 Earths,11.297,2020
GJ 96 b,39,19.66 Earths,9.4,2018
GJ 9714 b,67,9.60029 Jupiters,9.37,2022
GJ 9827 b,97,4.91 Earths,10.37,2017
GJ 9827 c,97,0.84 Earths,10.37,2017
GJ 9827 d,97,4.04 Earths,10.37,2017
Gl 378 b,49,13.02 Earths,10.03,2019
Gl 49 b,32,5.63 Earths,9.56,2019
Gl 686 b,27,6.624 Earths,9.62,2018
GPX-1 b,2137,19.7 Jupiters,12.316,2021
GQ Lupi b,493,20 Jupiters,11.593,2004
GSC 06214-00210 b,354,16 Jupiters,12.416,2010
GU Piscium b,155,11.3 Jupiters,14.146,2014
HAT-P-11 b,123,26.69772 Earths,9.46,2008
HAT-P-11 c,123,2.3 Jupiters,9.46,2018
HAT-P-12 b,466,0.211 Jupiters,12.665,2009
HAT-P-13 b,805,0.851 Jupiters,10.421,2009
HAT-P-13 c,805,14.28 Jupiters,10.421,2009
HAT-P-14 b,726,3.44 Jupiters,9.988,2010
HAT-P-15 b,628,1.94 Jupiters,12.41,2010
HAT-P-16 b,739,4.193 Jupiters,10.911,2010
HAT-P-17 b,301,0.58 Jupiters,10.375,2010
HAT-P-17 c,301,3.4 Jupiters,10.375,2010
HAT-P-18 b,526,0.197 Jupiters,12.597,2010
HAT-P-19 b,659,0.292 Jupiters,12.826,2010
HAT-P-1 b,519,0.525 Jupiters,9.827,2006
HAT-P-20 b,232,7.246 Jupiters,11.231,2010
HAT-P-21 b,904,4.87 Jupiters,11.459,2010
HAT-P-22 b,267,2.47 Jupiters,9.763,2010
HAT-P-23 b,1190,1.34 Jupiters,11.937,2010
HAT-P-24 b,1355,0.75 Jupiters,11.762,2010
HAT-P-25 b,980,0.569 Jupiters,13.146,2010
HAT-P-26 b,463,22.2481 Earths,11.757,2010
HAT-P-27 b,650,0.62 Jupiters,12.052,2011
HAT-P-28 b,1309,0.626 Jupiters,13.098,2011
HAT-P-29 b,1023,0.88 Jupiters,11.825,2011
HAT-P-2 b,417,8.7 Jupiters,8.72,2007
HAT-P-30 b,698,0.83 Jupiters,10.352,2011
HAT-P-31 b,1122,2.27 Jupiters,11.667,2011
HAT-P-32 b,943,0.68 Jupiters,11.439,2011
HAT-P-33 b,1292,0.92 Jupiters,11.032,2011
HAT-P-34 b,813,3.33 Jupiters,10.403,2011
HAT-P-35 b,1654,1.056 Jupiters,12.389,2011
HAT-P-36 b,960,1.8482 Jupiters,12.146,2011
HAT-P-15 b,628,1.94 Jupiters,12.41,2010
HAT-P-16 b,739,4.193 Jupiters,10.911,2010
HAT-P-17 b,301,0.58 Jupiters,10.375,2010
HAT-P-17 c,301,3.4 Jupiters,10.375,2010
HAT-P-18 b,526,0.197 Jupiters,12.597,2010
HAT-P-19 b,659,0.292 Jupiters,12.826,2010
HAT-P-1 b,519,0.525 Jupiters,9.827,2006
HAT-P-20 b,232,7.246 Jupiters,11.231,2010
HAT-P-21 b,904,4.87 Jupiters,11.459,2010
HAT-P-22 b,267,2.47 Jupiters,9.763,2010
HAT-P-23 b,1190,1.34 Jupiters,11.937,2010
HAT-P-24 b,1355,0.75 Jupiters,11.762,2010
HAT-P-25 b,980,0.569 Jupiters,13.146,2010
HAT-P-26 b,463,22.2481 Earths,11.757,2010
HAT-P-27 b,650,0.62 Jupiters,12.052,2011
HAT-P-28 b,1309,0.626 Jupiters,13.098,2011
HAT-P-29 b,1023,0.88 Jupiters,11.825,2011
HAT-P-2 b,417,8.7 Jupiters,8.72,2007
HAT-P-30 b,698,0.83 Jupiters,10.352,2011
HAT-P-31 b,1122,2.27 Jupiters,11.667,2011
HAT-P-32 b,943,0.68 Jupiters,11.439,2011
HAT-P-33 b,1292,0.92 Jupiters,11.032,2011
HAT-P-34 b,813,3.33 Jupiters,10.403,2011
HAT-P-35 b,1654,1.056 Jupiters,12.389,2011
HAT-P-36 b,960,1.8482 Jupiters,12.146,2011
HAT-P-15 b,628,1.94 Jupiters,12.41,2010
HAT-P-16 b,739,4.193 Jupiters,10.911,2010
HAT-P-17 b,301,0.58 Jupiters,10.375,2010
HAT-P-17 c,301,3.4 Jupiters,10.375,2010
HAT-P-18 b,526,0.197 Jupiters,12.597,2010
HAT-P-19 b,659,0.292 Jupiters,12.826,2010
HAT-P-1 b,519,0.525 Jupiters,9.827,2006
HAT-P-20 b,232,7.246 Jupiters,11.231,2010
HAT-P-21 b,904,4.87 Jupiters,11.459,2010
HAT-P-22 b,267,2.47 Jupiters,9.763,2010
HAT-P-23 b,1190,1.34 Jupiters,11.937,2010
HAT-P-24 b,1355,0.75 Jupiters,11.762,2010
HAT-P-25 b,980,0.569 Jupiters,13.146,2010
HAT-P-26 b,463,22.2481 Earths,11.757,2010
HAT-P-27 b,650,0.62 Jupiters,12.052,2011
HAT-P-28 b,1309,0.626 Jupiters,13.098,2011
HAT-P-29 b,1023,0.88 Jupiters,11.825,2011
HAT-P-2 b,417,8.7 Jupiters,8.72,2007
HAT-P-30 b,698,0.83 Jupiters,10.352,2011
HAT-P-31 b,1122,2.27 Jupiters,11.667,2011
HAT-P-32 b,943,0.68 Jupiters,11.439,2011
HAT-P-33 b,1292,0.92 Jupiters,11.032,2011
HAT-P-34 b,813,3.33 Jupiters,10.403,2011
HAT-P-35 b,1654,1.056 Jupiters,12.389,2011
HAT-P-36 b,960,1.8482 Jupiters,12.146,2011
HAT-P-15 b,628,1.94 Jupiters,12.41,2010
HAT-P-16 b,739,4.193 Jupiters,10.911,2010
HAT-P-17 b,301,0.58 Jupiters,10.375,2010
HAT-P-17 c,301,3.4 Jupiters,10.375,2010
HAT-P-18 b,526,0.197 Jupiters,12.597,2010
HAT-P-19 b,659,0.292 Jupiters,12.826,2010
HAT-P-1 b,519,0.525 Jupiters,9.827,2006
HAT-P-20 b,232,7.246 Jupiters,11.231,2010
HAT-P-21 b,904,4.87 Jupiters,11.459,2010
HAT-P-22 b,267,2.47 Jupiters,9.763,2010
HAT-P-23 b,1190,1.34 Jupiters,11.937,2010
HAT-P-24 b,1355,0.75 Jupiters,11.762,2010
HAT-P-25 b,980,0.569 Jupiters,13.146,2010
HAT-P-26 b,463,22.2481 Earths,11.757,2010
HAT-P-27 b,650,0.62 Jupiters,12.052,2011
HAT-P-28 b,1309,0.626 Jupiters,13.098,2011
HAT-P-29 b,1023,0.88 Jupiters,11.825,2011
HAT-P-2 b,417,8.7 Jupiters,8.72,2007
HAT-P-30 b,698,0.83 Jupiters,10.352,2011
HAT-P-31 b,1122,2.27 Jupiters,11.667,2011
HAT-P-32 b,943,0.68 Jupiters,11.439,2011
HAT-P-33 b,1292,0.92 Jupiters,11.032,2011
HAT-P-34 b,813,3.33 Jupiters,10.403,2011
HAT-P-35 b,1654,1.056 Jupiters,12.389,2011
HAT-P-36 b,960,1.8482 Jupiters,12.146,2011
HAT-P-15 b,628,1.94 Jupiters,12.41,2010
HAT-P-16 b,739,4.193 Jupiters,10.911,2010
HAT-P-17 b,301,0.58 Jupiters,10.375,2010
HAT-P-17 c,301,3.4 Jupiters,10.375,2010
HAT-P-18 b,526,0.197 Jupiters,12.597,2010
HAT-P-19 b,659,0.292 Jupiters,12.826,2010
HAT-P-1 b,519,0.525 Jupiters,9.827,2006
HAT-P-20 b,232,7.246 Jupiters,11.231,2010
HAT-P-21 b,904,4.87 Jupiters,11.459,2010
HAT-P-22 b,267,2.47 Jupiters,9.763,2010
HAT-P-23 b,1190,1.34 Jupiters,11.937,2010
HAT-P-24 b,1355,0.75 Jupiters,11.762,2010
HAT-P-25 b,980,0.569 Jupiters,13.146,2010
HAT-P-26 b,463,22.2481 Earths,11.757,2010
HAT-P-27 b,650,0.62 Jupiters,12.052,2011
HAT-P-28 b,1309,0.626 Jupiters,13.098,2011
HAT-P-29 b,1023,0.88 Jupiters,11.825,2011
HAT-P-2 b,417,8.7 Jupiters,8.72,2007
HAT-P-30 b,698,0.83 Jupiters,10.352,2011
HAT-P-31 b,1122,2.27 Jupiters,11.667,2011
HAT-P-32 b,943,0.68 Jupiters,11.439,2011
HAT-P-33 b,1292,0.92 Jupiters,11.032,2011
HAT-P-34 b,813,3.33 Jupiters,10.403,2011
HAT-P-35 b,1654,1.056 Jupiters,12.389,2011
HAT-P-36 b,960,1.8482 Jupiters,12.146,2011
HAT-P-15 b,628,1.94 Jupiters,12.41,2010
HAT-P-16 b,739,4.193 Jupiters,10.911,2010
HAT-P-17 b,301,0.58 Jupiters,10.375,2010
HAT-P-17 c,301,3.4 Jupiters,10.375,2010
HAT-P-18 b,526,0.197 Jupiters,12.597,2010
HAT-P-19 b,659,0.292 Jupiters,12.826,2010
HAT-P-1 b,519,0.525 Jupiters,9.827,2006
HAT-P-20 b,232,7.246 Jupiters,11.231,2010
HAT-P-21 b,904,4.87 Jupiters,11.459,2010
HAT-P-22 b,267,2.47 Jupiters,9.763,2010
HAT-P-23 b,1190,1.34 Jupiters,11.937,2010
HAT-P-24 b,1355,0.75 Jupiters,11.762,2010
HAT-P-25 b,980,0.569 Jupiters,13.146,2010
HAT-P-26 b,463,22.2481 Earths,11.757,2010
HAT-P-27 b,650,0.62 Jupiters,12.052,2011
HAT-P-28 b,1309,0.626 Jupiters,13.098,2011
HAT-P-29 b,1023,0.88 Jupiters,11.825,2011
HAT-P-2 b,417,8.7 Jupiters,8.72,2007
HAT-P-30 b,698,0.83 Jupiters,10.352,2011
HAT-P-31 b,1122,2.27 Jupiters,11.667,2011
HAT-P-32 b,943,0.68 Jupiters,11.439,2011
HAT-P-33 b,1292,0.92 Jupiters,11.032,2011
HAT-P-34 b,813,3.33 Jupiters,10.403,2011
HAT-P-35 b,1654,1.056 Jupiters,12.389,2011
HAT-P-36 b,960,1.8482 Jupiters,12.146,2011
HAT-P-37 b,1274,1.169 Jupiters,13.427,2011
HAT-P-38 b,832,0.267 Jupiters,12.525,2012
HAT-P-39 b,2274,0.599 Jupiters,12.282,2012
HAT-P-3 b,439,0.65 Jupiters,11.856,2007
HAT-P-40 b,1515,0.48 Jupiters,11.34,2012
HAT-P-41 b,1136,1.19 Jupiters,11.365,2012
HAT-P-42 b,1322,1.044 Jupiters,12.125,2012
HAT-P-43 b,1725,0.662 Jupiters,13.279,2012
HAT-P-44 b,1135,0.352 Jupiters,13.225,2014
HAT-P-44 c,1135,4 Jupiters,13.225,2014
HAT-P-45 b,974,0.892 Jupiters,12.783,2014
HAT-P-46 b,948,0.493 Jupiters,11.997,2014
HAT-P-49 b,1143,2.2 Jupiters,10.205,2014
HAT-P-4 b,1045,0.671 Jupiters,11.118,2007
HAT-P-50 b,1681,1.35 Jupiters,11.703,2015
HAT-P-51 b,1436,0.309 Jupiters,13.51,2015
HAT-P-52 b,1178,0.818 Jupiters,14.107,2015
HAT-P-53 b,2175,1.484 Jupiters,13.78,2015
HAT-P-54 b,469,0.76 Jupiters,13.398,2015
HAT-P-55 b,1668,0.582 Jupiters,13.197,2015
HAT-P-56 b,1046,2.31 Jupiters,10.92,2015
HAT-P-57 b,913,1.41 Jupiters,10.639,2015
HAT-P-58 b,1682,0.372 Jupiters,12.925,2021
HAT-P-59 b,866,1.54 Jupiters,11.64,2021
HAT-P-5 b,989,0.98 Jupiters,11.954,2007
HAT-P-60 b,761,0.574 Jupiters,9.727,2021
HAT-P-61 b,1105,1.057 Jupiters,13.096,2021
HAT-P-62 b,1138,0.761 Jupiters,12.539,2021
HAT-P-63 b,14624,0.614 Jupiters,20.1544,2021
HAT-P-64 b,2126,0.58 Jupiters,12.855,2021
HAT-P-65 b,2409,0.527 Jupiters,13.121,2016
HAT-P-66 b,3051,0.783 Jupiters,13.014,2016
HAT-P-67 b,1212,0.34 Jupiters,10.106,2017
HAT-P-68 b,659,0.724 Jupiters,13.802,2020
HAT-P-69 b,1113,3.58 Jupiters,9.774,2019
HAT-P-6 b,898,1.32 Jupiters,10.469,2007
HAT-P-70 b,1079,6.78 Jupiters,9.47,2019
HAT-P-7 b,1113,1.84 Jupiters,10.481,2008
HAT-P-8 b,690,1.28 Jupiters,10.358,2008
HAT-P-9 b,1485,0.749 Jupiters,12.344,2008
HATS-10 b,1745,0.526 Jupiters,13.202,2015
HATS-11 b,3081,0.83 Jupiters,14.06,2016
HATS-12 b,2434,2.39 Jupiters,12.831,2016
HATS-13 b,1376,0.543 Jupiters,13.911,2015
HATS-14 b,1673,1.071 Jupiters,14.052,2015
HATS-15 b,3717,2.17 Jupiters,14.909,2016
HATS-16 b,2469,3.27 Jupiters,13.957,2016
HATS-17 b,1306,1.338 Jupiters,12.402,2016
HATS-18 b,2037,1.9795 Jupiters,14.188,2016
HATS-1 b,926,1.855 Jupiters,12.155,2012
HATS-67 b,3132,1.45 Jupiters,13.698,2018
HATS-68 b,1970,1.29 Jupiters,12.312,2018
HATS-69 b,1352,0.577 Jupiters,14.074,2018
HATS-6 b,552,0.319 Jupiters,15.044,2015
HATS-70 b,4759,12.9 Jupiters,12.227,2019
HATS-71 b,457,0.37 Jupiters,16.437,2020
HATS-72 b,416,39.85588 Earths,12.324,2020
HATS-74 A b,977,1.46 Jupiters,17.26,2021
HATS-75 b,636,0.491 Jupiters,15.689,2021
HATS-76 b,1258,2.629 Jupiters,16.68,2021
HATS-77 b,1423,1.374 Jupiters,16.195,2021
HATS-7 b,785,38.1396 Earths,13.347,2015
HATS-8 b,2592,0.138 Jupiters,14.512,2015
HATS-9 b,2083,0.837 Jupiters,13.256,2015
HD 100546 b,358,752 Jupiters,6.69,2014
HD 100655 b,447,1.61 Jupiters,6.4421,2011
HD 100777 b,162,1.03 Jupiters,8.42,2007
HD 10180 c,127,13.1 Earths,7.33,2010
HD 10180 d,127,11.75 Earths,7.33,2010
HD 10180 e,127,25.1 Earths,7.33,2010
HD 10180 f,127,23.9 Earths,7.33,2010
HD 10180 g,127,21.4 Earths,7.33,2010
HD 10180 h,127,0.203 Jupiters,7.33,2010
HD 101930 b,98,0.25 Jupiters,8.21,2005
HD 102117 b,129,0.17 Jupiters,7.47,2005
HATS-67 b,3132,1.45 Jupiters,13.698,2018
HATS-68 b,1970,1.29 Jupiters,12.312,2018
HATS-69 b,1352,0.577 Jupiters,14.074,2018
HATS-6 b,552,0.319 Jupiters,15.044,2015
HATS-70 b,4759,12.9 Jupiters,12.227,2019
HATS-71 b,457,0.37 Jupiters,16.437,2020
HATS-72 b,416,39.85588 Earths,12.324,2020
HATS-74 A b,977,1.46 Jupiters,17.26,2021
HATS-75 b,636,0.491 Jupiters,15.689,2021
HATS-76 b,1258,2.629 Jupiters,16.68,2021
HATS-77 b,1423,1.374 Jupiters,16.195,2021
HATS-7 b,785,38.1396 Earths,13.347,2015
HATS-8 b,2592,0.138 Jupiters,14.512,2015
HATS-9 b,2083,0.837 Jupiters,13.256,2015
HD 100546 b,358,752 Jupiters,6.69,2014
HD 100655 b,447,1.61 Jupiters,6.4421,2011
HD 100777 b,162,1.03 Jupiters,8.42,2007
HD 10180 c,127,13.1 Earths,7.33,2010
HD 10180 d,127,11.75 Earths,7.33,2010
HD 10180 e,127,25.1 Earths,7.33,2010
HD 10180 f,127,23.9 Earths,7.33,2010
HD 10180 g,127,21.4 Earths,7.33,2010
HD 10180 h,127,0.203 Jupiters,7.33,2010
HD 101930 b,98,0.25 Jupiters,8.21,2005
HD 102117 b,129,0.17 Jupiters,7.47,2005
HD 102195 b,96,0.41 Jupiters,8.07,2006
HD 102272 b,1132,4.94 Jupiters,8.69,2008
HD 102329 b,708,8.16 Jupiters,7.88,2011
HD 102329 c,708,1.52 Jupiters,7.88,2018
HD 102365 b,30,16 Earths,4.89,2010
HD 102843 b,205,0.35837 Jupiters,9.26,2019
HD 102956 b,398,0.96 Jupiters,7.86,2010
HD 103197 b,186,28.6047 Earths,9.4,2009
HD 103720 b,149,0.62 Jupiters,9.5,2014
HD 103774 b,184,0.367 Jupiters,7.13463,2013
HD 103891 b,181,1.44 Jupiters,6.59451,2022
HD 103949 b,86,11.2 Earths,8.7,2019
HD 104067 b,66,0.16 Jupiters,7.92,2009
HD 10442 b,442,1.487 Jupiters,7.828,2014
HD 104985 b,328,8.3 Jupiters,5.79389,2003
HD 105618 b,229,25.14472 Earths,8.63,2022
HD 105618 c,229,26.90216 Jupiters,8.63,2022
HD 105779 b,180,0.64 Jupiters,8.65,2022
HD 106252 b,125,10 Jupiters,7.41,2002
HD 106270 b,306,10.13 Jupiters,7.58,2011
HD 106315 b,357,12.6 Earths,8.951,2017
HD 106315 c,357,15.2 Earths,8.951,2017
HD 10647 b,57,0.94 Jupiters,5.52,2006
HD 106515 A b,111,11.0719 Jupiters,7.971,2012
HD 106906 b,336,11 Jupiters,7.8,2013
HATS-67 b,3132,1.45 Jupiters,13.698,2018
HATS-68 b,1970,1.29 Jupiters,12.312,2018
HATS-69 b,1352,0.577 Jupiters,14.074,2018
HATS-6 b,552,0.319 Jupiters,15.044,2015
HATS-70 b,4759,12.9 Jupiters,12.227,2019
HATS-71 b,457,0.37 Jupiters,16.437,2020
HATS-72 b,416,39.85588 Earths,12.324,2020
